step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
0,,,,,,,,1.3408,0.0001,735.552
40000,-2.45431,0.0861568,,,38.7106,0.2091,,,,
50000,,,,,,,,4.68919,0.0001,306.717
80000,-1.04689,0.148352,,,36.5806,0.345238,,,,
100000,,,,,,,,19.6975,0.0001,306.296
120000,3.67095,0.418435,,,29.3094,0.88515,,,,
150000,,,,,,,,10.3985,0.0001,304.287
160000,-2.82473,0.0461983,,,38.4591,0.122233,,,,
200000,1.59161,0.287902,,,30.6371,0.594181,,6.60668,0.0001,304
240000,3.91207,0.426605,,,26.1953,0.863041,,,,
250000,,,,,,,,5.21567,0.0001,303.538
280000,5.07135,0.479375,,,25.0106,0.96125,,,,
300000,,,,,,,,4.67154,0.0001,300.996
320000,5.39376,0.496292,,,24.741,0.995674,,,,
350000,,,,,,,,4.7271,0.0001,298.719
360000,5.64079,0.511754,,,24.1151,1.02773,,,,
400000,6.5319,0.556904,,,23.0959,1.11554,,5.00335,0.0001,294.836
440000,6.32442,0.540936,,,23.3918,1.0848,,,,
450000,,,,,,,,5.04966,0.0001,294
480000,7.03454,0.58194,,,22.2899,1.16722,,,,
500000,,,,,,,,5.61697,0.0001,293.213
520000,7.63701,0.625663,,,21.2248,1.25239,,,,
550000,,,,,,,,5.45793,0.0001,293
560000,7.30998,0.605278,,,21.989,1.2133,,,,
600000,7.60084,0.631607,,,21.1316,1.26797,,5.52382,0.0001,293
640000,7.7494,0.635356,,,21.1187,1.27335,,,,
650000,,,,,,,,5.62732,0.0001,293.296
680000,8.30064,0.65726,,,20.5162,1.3176,,,,
700000,,,,,,,,5.64251,0.0001,294.06
720000,8.61858,0.676223,,,19.78,1.35492,,,,
750000,,,,,,,,6.27929,0.0001,294.968
760000,8.4444,0.674772,,,20.2619,1.35208,,,,
800000,8.4057,0.672106,,,20.385,1.34829,,6.79363,0.0001,295.719
840000,8.93783,0.700244,,,19.5697,1.40244,,,,
850000,,,,,,,,6.32156,0.0001,296.366
880000,8.94293,0.694037,,,19.5459,1.39394,,,,
900000,,,,,,,,5.8768,0.0001,297
920000,8.89059,0.704092,,,19.9691,1.41267,,,,
950000,,,,,,,,6.04534,0.0001,292.294
960000,9.27212,0.719459,,,19.2999,1.44375,,,,
1000000,9.28354,0.718932,,,19.4286,1.43835,,6.08946,0.0001,280
1040000,9.67721,0.748268,,,18.4794,1.49885,,,,
1050000,,,,,,,,4.98537,0.0001,280
1080000,9.70231,0.738541,,,18.6894,1.47895,,,,
1100000,,,,,,,,5.13487,0.0001,280
1120000,9.89079,0.752429,,,18.5229,1.51134,,,,
1150000,,,,,,,,5.52122,0.0001,279.205
1160000,9.50168,0.736867,,,18.9352,1.47989,,,,
1200000,9.96405,0.753903,,,18.3549,1.51194,,5.27161,0.0001,278.643
1240000,9.73043,0.745684,,,18.6771,1.4951,,,,
1250000,,,,,,,,4.62084,0.0001,277.058
1280000,10.0417,0.76656,,,18.2672,1.53586,,,,
1300000,,,,,,,,5.00867,0.0001,275.788
1320000,10.3868,0.783664,,,17.6645,1.56909,,,,
1350000,,,,,,,,5.0792,0.0001,275
1360000,10.3736,0.776392,,,17.8165,1.55813,,,,
1400000,10.0922,0.770634,,,18.2262,1.54628,,4.63119,0.0001,274.204
1440000,10.1955,0.769054,,,18.3806,1.53949,,,,
1450000,,,,,,,,4.38661,0.0001,273.401
1480000,10.5311,0.789308,,,17.9668,1.58401,,,,
1500000,,,,,,,,4.01665,0.0001,272.621
1520000,10.3097,0.782687,,,18.0275,1.56808,,,,
1550000,,,,,,,,4.18454,0.0001,272
1560000,10.5215,0.790953,,,17.5718,1.58586,,,,
1600000,10.2688,0.774698,,,17.8869,1.55431,,3.97923,0.0001,271.67
1640000,10.518,0.790102,,,17.6726,1.5833,,,,
1650000,,,,,,,,3.56506,0.0001,271
1680000,10.4596,0.786798,,,17.8336,1.57627,,,,
1700000,,,,,,,,3.72373,0.0001,270.024
1720000,10.6022,0.794883,,,17.6533,1.59418,,,,
1750000,,,,,,,,3.60956,0.0001,270
1760000,10.7282,0.801296,,,17.2808,1.60691,1,,,
1800000,10.4625,0.784629,,,17.8686,1.57328,,3.66396,0.0001,270.193
1840000,10.6075,0.798419,,,17.5665,1.60167,2,,,
1850000,,,,,,,,4.49655,0.0001,270
1880000,8.47556,0.740357,,,18.8114,1.50611,,,,
1900000,,,,,,,,4.80565,0.0001,270
1920000,9.10819,0.768411,,,18.5262,1.55813,3,,,
1950000,,,,,,,,6.20736,0.0001,270
1960000,8.50095,0.745818,,,18.5962,1.51348,,,,
2000000,8.67721,0.750958,,,19.1437,1.52203,,6.91928,0.0001,
